klasse,unterrichtsdatum,kalenderwoche,thema,zusatzmaterial_text,zusatzmaterial_link,zusatzmaterial_datei,lektion_1_beginn,lektion_1_ende,lektion_1_aktivitaeten,lektion_2_beginn,lektion_2_ende,lektion_2_aktivitaeten,lektion_3_beginn,lektion_3_ende,lektion_3_aktivitaeten,lektion_4_beginn,lektion_4_ende,lektion_4_aktivitaeten,lektion_5_beginn,lektion_5_ende,lektion_5_aktivitaeten,lektion_6_beginn,lektion_6_ende,lektion_6_aktivitaeten,hausaufgaben,leistungsnachweis_titel,leistungsnachweis_datum,leistungsnachweis_beginn,leistungsnachweis_ende,leistungsnachweis_themen,stuetzkurs_titel,stuetzkurs_datum,stuetzkurs_beginn,stuetzkurs_ende,stuetzkurs_ort,stuetzkurs_teams_url,stuetzkurs_anmeldung_url,stuetzkurs_hinweis,lernziele
BM2vz-2627,2026-08-17,KW 34,Facheinführung##Grundlagen Biologie: Allgemeine Grundlagen,,https://www.youtube.com/watch?v=KRTGpuLfZHY Beitrag vom Kassensturz,,11:20,12:05,"<ul>
<li>[fa-smile-o] Begrüssung</li>
<li>[fa-user] Vorstellungsrunde</li>
<li><a href=""https://moodle.strickhof.ch/course/view.php?id=488"">[fa-link] Moodle-Einführung </a></li>
<li>Facheinführung «Naturwissenschaften I» (Moodlekurs <a href=""https://moodle.strickhof.ch/course/view.php?id=209""> BMS-Naturwissenschaften I </a>)</li>
</ul>",12:10,12:55,"<ul>
<li>Moodlekurse, Fachvorgaben &amp; Unterrichtsplanung</li>
<li>Einführung «Sommer, Sonne, Sonnencreme?»</li>
</ul>",,,,,,,,,,,,,"<ul>
<li>Moodle-Einführungskurs absolvieren</li>
</ul>",Biologieprüfung I,2026-10-19,11:20,12:05,"<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>",Prüfungsvorbereitung,2026-10-01,17:20,18:05,"<p>Strickhof Lindau, Zimmer 603</p>",https://teams.microsoft.com/meet/39022291276706?p=ODO8iGK7UziaI6mskN,https://moodle.strickhof.ch/mod/scheduler/view.php?id=48719,"<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Donnerstag, 01. Oktober 2026<br>🕠 von 17:20 bis 18:05 Uhr<br><a href=""https://teams.microsoft.com/meet/39022291276706?p=ODO8iGK7UziaI6mskN"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 603</p>
<p>🗫 Teilnahem ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=48719"">«Anmeldung zum Stützkurs (SJ2526)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>grob zu erklären, was Nanotechnologie ist und kennen zwei konkrete Anwendungen.</li>
<li>die metrische Unterteilung von Nanometer bis Kilometer kennen.</li>
</ol>"
BM2tz-2628,2026-08-17,KW 34,Facheinführung##Grundlagen Biologie: Allgemeine Grundlagen,,https://www.youtube.com/watch?v=KRTGpuLfZHY Beitrag vom Kassensturz,,13:50,14:35,"<ul>
<li>[fa-smile-o] Begrüssung</li>
<li>[fa-user] Vorstellungsrunde</li>
<li><a href=""https://moodle.strickhof.ch/course/view.php?id=488"">[fa-link] Moodle-Einführung </a></li>
<li>Facheinführung «Naturwissenschaften I» (Moodlekurs <a href=""https://moodle.strickhof.ch/course/view.php?id=209""> BMS-Naturwissenschaften I </a>)</li>
</ul>",14:45,15:30,"<ul>
<li>Moodlekurse, Fachvorgaben &amp; Unterrichtsplanung</li>
<li>Einführung «Sommer, Sonne, Sonnencreme?»</li>
</ul>",,,,,,,,,,,,,"<ul>
<li>Moodle-Einführungskurs absolvieren</li>
</ul>",Biologieprüfung I,2026-10-19,13:50,14:35,"<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>",Prüfungsvorbereitung,2026-09-29,16:30,17:15,"<p>Strickhof Lindau, Zimmer 603</p>",https://teams.microsoft.com/meet/39022291276706?p=ODO8iGK7UziaI6mskN,https://moodle.strickhof.ch/mod/scheduler/view.php?id=48719,"<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Dienstag, 29. September 2026<br>🕠 von 16:30 bis 17:15 Uhr<br><a href=""https://teams.microsoft.com/meet/39022291276706?p=ODO8iGK7UziaI6mskN"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 603</p>
<p>🗫 Teilnahem ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=48719"">«Anmeldung zum Stützkurs (SJ2526)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>grob zu erklären, was Nanotechnologie ist und kennen zwei konkrete Anwendungen.</li>
<li>die metrische Unterteilung von Nanometer bis Kilometer kennen.</li>
</ol>"
BM2vz-2627,2026-08-24,KW 35,Grundlagen Biologie: Allgemeine Grundlagen##Grundlagen Biologie: Chemische Grundlagen,,,,11:20,12:05,"<ul>
<li>[fa-book] Eigenschaften des Lebendigen</li>
<li>[fa-flag] Definition von Biologie</li>
<li>[fa-sitemap] Ebenen der biologischen Organisation</li>
<li>[fa-book] chemische Grundlagen</li>
</ul>",12:10,12:55,"<ul>
<li>Eigenschaften von Wasser</li>
<li>Biomoleküle</li>
</ul>",,,,,,,,,,,,,"<ul>
<li>Aufgabe | Die Ebenen in der Biologie</li>
</ul>",Biologieprüfung I,2026-10-19,11:20,12:05,"<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>",Prüfungsvorbereitung,2026-10-01,17:20,18:05,"<p>Strickhof Lindau, Zimmer 603</p>",https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H,https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344,"<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Donnerstag, 01. Oktober 2026<br>🕠 von 17:20 bis 18:05 Uhr<br><a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 603</p>
<p>🗫 Teilnahem ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">«Anmeldung zum Stützkurs (SJ2627)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>die Eigenschaften des Lebendigen zu erläutern und diese anhand von Beispielen zu veranschaulichen.</li>
<li>die hierarchische Organisation der Biosysteme zu benennen.</li>
<li>grundlegende Fachbegriffe der Systematik zu verwenden.</li>
<li>einen Organismus den drei Domänen zuzuordnen und – falls er zur Domäne der Eukarya gehört – eine weitere Einteilung in die vier Reiche vorzunehmen.</li>
<li>die hierarchische Klassifikation (Domäne, Reich, Stamm, Klasse, Ordnung usw.) wiederzugeben.</li>
<li>die grobe Funktion der genetischen Information für die Biologie und insbesondere für die Systematik zu erklären.</li>
<li>anzugeben, welche Elemente häufig in Biomolekülen vorkommen (Makronährelemente) und welche zu den Spurenelementen (Mikronährelemente) zählen.</li>
<li>die chemischen und physikalischen Eigenschaften von Wasser zu beschreiben.</li>
<li>die vier Hauptgruppen der Biomoleküle (Zucker, Proteine, Nukleinsäuren und Lipide) zu benennen, deren Funktionen zu erläutern und jeweils ein Beispiel zu nennen (z. B. Zucker = Glucose, Protein = Hämoglobin).</li>
<li>die Vorgänge der Genexpression (Gen → mRNA → Ribosom → Protein) zu beschreiben.</li>
</ol>"
BM1-2629,2026-08-27,KW 35,Facheinführung##Grundlagen Biologie: Allgemeine Grundlagen,,https://www.youtube.com/watch?v=KRTGpuLfZHY Beitrag vom Kassensturz,,13:50,14:35,"<ul>
<li>[fa-smile-o] Begrüssung</li>
<li>[fa-user] Vorstellungsrunde</li>
<li><a href=""https://moodle.strickhof.ch/course/view.php?id=488"">[fa-link] Moodle-Einführung </a></li>
<li>Facheinführung «Naturwissenschaften I» (Moodlekurs <a href=""https://moodle.strickhof.ch/course/view.php?id=209""> BMS-Naturwissenschaften I </a>)</li>
</ul>",14:45,15:30,"<ul>
<li>Moodlekurse, Fachvorgaben &amp; Unterrichtsplanung</li>
<li>Einführung «Sommer, Sonne, Sonnencreme?»</li>
</ul>",,,,,,,,,,,,,"<ul>
<li><a href=""https://moodle.strickhof.ch/course/view.php?id=488"">[fa-link] Moodle-Einführung </a> absolvieren</li>
</ul>",Biologieprüfung I,2026-10-22,13:50,14:35,"<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>",Prüfungsvorbereitung,2026-10-01,17:20,18:05,"<p>Strickhof Lindau, Zimmer 603</p>",https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H,https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344,"<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Donnerstag, 01. Oktober 2026<br>🕠 von 17:20 bis 18:05 Uhr<br><a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 603</p>
<p>🗫 Teilnahem ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">«Anmeldung zum Stützkurs (SJ2627)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>grob zu erklären, was Nanotechnologie ist und kennen zwei konkrete Anwendungen.</li>
<li>die metrische Unterteilung von Nanometer bis Kilometer kennen.</li>
</ol>"
BM2tz-2628,2026-08-24,KW 35,Grundlagen Biologie: Allgemeine Grundlagen##Grundlagen Biologie: Chemische Grundlagen,,,,13:50,14:35,"<ul>
<li>[fa-book] Eigenschaften des Lebendigen</li>
<li>[fa-flag] Definition von Biologie</li>
<li>[fa-sitemap] Ebenen der biologischen Organisation</li>
<li>[fa-book] chemische Grundlagen</li>
</ul>",14:45,15:30,"<ul>
<li>Eigenschaften von Wasser</li>
<li>Biomoleküle</li>
</ul>",,,,,,,,,,,,,"<ul>
<li>Aufgabe | Die Ebenen in der Biologie</li>
</ul>",Biologieprüfung I,2026-10-19,13:50,14:35,"<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>",Prüfungsvorbereitung,2026-09-29,16:30,17:15,"<p>Strickhof Lindau, Zimmer 302</p>",https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H,https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344,"<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Dienstag, 29. September 2026<br>🕠 von 16:30 bis 17:15 Uhr<br><a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 302</p>
<p>🗫 Teilnahme ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">«Anmeldung zum Stützkurs (SJ2627)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>grob zu erklären, was Nanotechnologie ist, und zwei konkrete Anwendungen zu nennen.</li>
<li>die Eigenschaften des Lebendigen zu erläutern und diese anhand von Beispielen zu veranschaulichen.</li>
<li>die hierarchische Organisation der Biosysteme zu benennen.</li>
<li>grundlegende Fachbegriffe der Systematik zu verwenden.</li>
<li>einen Organismus den drei Domänen zuzuordnen und – falls er zur Domäne der Eukarya gehört – eine weitere Einteilung in die vier Reiche vorzunehmen.</li>
<li>die hierarchische Klassifikation (Domäne, Reich, Stamm, Klasse, Ordnung usw.) wiederzugeben.</li>
<li>die grobe Funktion der genetischen Information für die Biologie und insbesondere für die Systematik zu erklären.</li>
<li>anzugeben, welche Elemente häufig in Biomolekülen vorkommen (Makronährelemente) und welche zu den Spurenelementen (Mikronährelemente) zählen.</li>
<li>die chemischen und physikalischen Eigenschaften von Wasser zu beschreiben.</li>
</ol>"
BM2vz-2627,2026-08-31,KW 36,Grundlagen Biologie: Allgemeine Grundlagen##Grundlagen Biologie: Chemische Grundlagen,,https://usys.ethz.ch/news-veranstaltungen/news/archiv/2026/08/doppelte-belastung-fuer-das-meeresleben.html Doppelte Belastung für das Meeresleben,,11:20,12:05,"<ul>
<li>[fa fa-lightbulb-o] «Doppelte Belastung für das Meeresleben» <a href=""https://usys.ethz.ch/news-veranstaltungen/news/archiv/2026/08/doppelte-belastung-fuer-das-meeresleben.html"">🔗 ETH Umweltsystemwissenschaften </a></li>
<li>[fa-book] Biomoleküle</li>
<li>[fa-pencil] Aufbau der DNA (⏲️ 10 Min.)</li>
</ul>",12:10,12:55,"<ul>
<li>[fa-home] Hausaufgaben: Totholz in Wälder</li>
<li>[fa-book] Systematik</li>
<li>Einheitlichkeit der Vielfalt</li>
</ul>",,,,,,,,,,,,,"<ul>
<li>Aufgabe | Die Ebenen in der Biologie</li>
<li>Aufgabe | Totholz in Wäldern</li>
</ul>",Biologieprüfung I,2026-10-19,11:20,12:05,"<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>",Prüfungsvorbereitung,2026-10-01,17:20,18:05,"<p>Strickhof Lindau, Zimmer 603</p>",https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H,https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344,"<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Donnerstag, 01. Oktober 2026<br>🕠 von 17:20 bis 18:05 Uhr<br><a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 603</p>
<p>🗫 Teilnahem ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">«Anmeldung zum Stützkurs (SJ2627)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>grundlegende Fachbegriffe der Systematik zu verwenden.</li>
<li>einen Organismus den drei Domänen zuzuordnen und – falls er zur Domäne der Eukarya gehört – eine weitere Einteilung in die vier Reiche vorzunehmen.</li>
<li>die hierarchische Klassifikation (Domäne, Reich, Stamm, Klasse, Ordnung usw.) wiederzugeben.</li>
<li>die grobe Funktion der genetischen Information für die Biologie und insbesondere für die Systematik zu erklären.</li>
</ol>
<h5>Chemische Grundlagen</h5>
<p>Sie sind in der Lage ...</p>
<ol>
<li>anzugeben, welche Elemente häufig in Biomolekülen vorkommen (Makronährelemente) und welche zu den Spurenelementen (Mikronährelemente) zählen.</li>
<li>die chemischen und physikalischen Eigenschaften von Wasser zu beschreiben.</li>
<li>die vier Hauptgruppen der Biomoleküle (Zucker, Proteine, Nukleinsäuren und Lipide) zu benennen, deren Funktionen zu erläutern und jeweils ein Beispiel zu nennen (z. B. Zucker = Glucose, Protein = Hämoglobin).</li>
<li>die Vorgänge der Genexpression (Gen → mRNA → Ribosom → Protein) zu beschreiben.</li>
</ol>"
BM2tz-2628,2026-08-31,KW 36,Grundlagen Biologie: Allgemeine Grundlagen##Grundlagen Biologie: Chemische Grundlagen##Cytologie: Aufbau und Funktion von Zellen,,https://usys.ethz.ch/news-veranstaltungen/news/archiv/2026/08/doppelte-belastung-fuer-das-meeresleben.html Doppelte Belastung für das Meeresleben,,13:50,14:35,"<ul>
<li>[fa fa-lightbulb-o] «Doppelte Belastung für das Meeresleben» <a href=""https://usys.ethz.ch/news-veranstaltungen/news/archiv/2026/08/doppelte-belastung-fuer-das-meeresleben.html"">🔗 ETH Umweltsystemwissenschaften </a></li>
<li>[fa-book] Eigenschaften von Wasser (pH-Wert, Dichte, Löslichkeit)</li>
<li>[fa-book] Biomoleküle</li>
<li>[fa-pencil] Aufbau der DNA (⏲️ 10 Min.)</li>
</ul>",14:45,15:30,"<ul>
<li>[fa-home] Hausaufgaben: Totholz in Wälder</li>
<li>[fa-book] Systematik</li>
<li>Einheitlichkeit der Vielfalt</li>
</ul>",15:40,16:25,"<ul>
<li>[fa-book] Einstieg Cytologie</li>
<li>[fa-book] Mikroskopiertechniken</li>
<li>Zelltyp: Prokaryoten und Eukaryoten</li>
</ul>",16:30,17:15,"<ul>
<li>[fa-pencil] Theorieblatt über Zellbestandteile</li>
</ul>",,,,,,,"<ul>
<li>Aufgabe | Die Ebenen in der Biologie</li>
<li>Aufgabe | Totholz in Wäldern</li>
<li>AB: Bau und Funktion von Lipiden</li>
</ul>",Biologieprüfung I,2026-10-19,13:50,14:35,"<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>",Prüfungsvorbereitung,2026-09-28,17:20,18:05,"<p>Strickhof Lindau, Zimmer 302</p>",https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H,https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344,"<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Montag, 28. September 2026<br>🕠 von 17:20 bis 18:05 Uhr<br><a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 302</p>
<p>🗫 Teilnahme ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">«Anmeldung zum Stützkurs (SJ2627)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>grundlegende Fachbegriffe der Systematik zu verwenden.</li>
<li>einen Organismus den drei Domänen zuzuordnen und – falls er zur Domäne der Eukarya gehört – eine weitere Einteilung in die vier Reiche vorzunehmen.</li>
<li>die hierarchische Klassifikation (Domäne, Reich, Stamm, Klasse, Ordnung usw.) wiederzugeben.</li>
<li>die grobe Funktion der genetischen Information für die Biologie und insbesondere für die Systematik zu erklären.</li>
</ol>
<h5>Chemische Grundlagen</h5>
<p>Sie sind in der Lage ...</p>
<ol>
<li>anzugeben, welche Elemente häufig in Biomolekülen vorkommen (Makronährelemente) und welche zu den Spurenelementen (Mikronährelemente) zählen.</li>
<li>die chemischen und physikalischen Eigenschaften von Wasser zu beschreiben.</li>
<li>die vier Hauptgruppen der Biomoleküle (Zucker, Proteine, Nukleinsäuren und Lipide) zu benennen, deren Funktionen zu erläutern und jeweils ein Beispiel zu nennen (z. B. Zucker = Glucose, Protein = Hämoglobin).</li>
<li>die Vorgänge der Genexpression (Gen → mRNA → Ribosom → Protein) zu beschreiben.</li>
</ol>
<h5>Cytologie</h5>
<div>Sie sind in der Lage...
<ul>
<li>mithilfe spezifischer Kriterien prokaryontische und eukaryontische Zellen zu unterscheiden und Gemeinsamkeiten zu benennen.</li>
<li>den Bau von Tier- und Pflanzenzellen
<ul>
<li>mit sämtlichen Organellen schematisch zu skizzieren.</li>
<li>anhand von Zellbestandteilen Unterschiede und Gemeinsamkeiten festzumachen.</li>
</ul>
</li>
<li>die Strukturen und die Komponenten des Endomembransystems zu beschreiben.</li>
<li>die Funktion aller Zellbestandteile zu erklären, insbesondere die von Mitochondrien und Chloroplasten (genauen strukturellen Aufbau, Funktion &amp; Eigenschaften).</li>
</ul>
</div>"
BM1-2629,2026-09-03,KW 36,Grundlagen Biologie: Allgemeine Grundlagen##Grundlagen Biologie: Chemische Grundlagen,,,,13:50,14:35,"<ul>
<li>[fa-book] Eigenschaften des Lebendigen</li>
<li>[fa-flag] Definition von Biologie</li>
<li>[fa-sitemap] Ebenen der biologischen Organisation</li>
<li>[fa-book] chemische Grundlagen</li>
</ul>",14:45,15:30,"<ul>
<li>Eigenschaften von Wasser</li>
<li>Biomoleküle</li>
</ul>",,,,,,,,,,,,,"<ul>
<li>Aufgabe | Die Ebenen in der Biologie</li>
</ul>",Biologieprüfung I,2026-10-22,13:50,14:35,"<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>",Prüfungsvorbereitung,2026-10-01,17:20,18:05,"<p>Strickhof Lindau, Zimmer 603</p>",https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H,https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344,,"<p>Sie sind in der Lage ...</p>
<ol>
<li>die Eigenschaften des Lebendigen zu erläutern und diese anhand von Beispielen zu veranschaulichen.</li>
<li>die hierarchische Organisation der Biosysteme zu benennen.</li>
<li>grundlegende Fachbegriffe der Systematik zu verwenden.</li>
<li>einen Organismus den drei Domänen zuzuordnen und – falls er zur Domäne der Eukarya gehört – eine weitere Einteilung in die vier Reiche vorzunehmen.</li>
<li>die hierarchische Klassifikation (Domäne, Reich, Stamm, Klasse, Ordnung usw.) wiederzugeben.</li>
<li>die grobe Funktion der genetischen Information für die Biologie und insbesondere für die Systematik zu erklären.</li>
<li>anzugeben, welche Elemente häufig in Biomolekülen vorkommen (Makronährelemente) und welche zu den Spurenelementen (Mikronährelemente) zählen.</li>
<li>die chemischen und physikalischen Eigenschaften von Wasser zu beschreiben.</li>
</ol>"
BM2vz-2627,2026-09-07,KW 37,Cytologie: Aufbau und Funktion von Zellen,,,,11:20,12:05,"<ul>
<li>[fa-question-circle] Leistungsnachweis | Theorieblatt über Zellbestandteile</li>
<li>[fa-exclamation-circle] Sicherheitsregeln im Labor</li>
<li>[fa-book] Einführung ins Mikroskopieren</li>
</ul>",12:10,12:55,"<ul>
<li>[fa-flag-checkered] Sie haben folgende Präparate mikroskopiert
<ul>
<li>Zwiebelhaut mit Färbung</li>
<li>Mundschleimhaut mit Färbung</li>
<li>Augentierchen (Euglena)</li>
<li>Hefe</li>
</ul>
</li>
</ul>",,,,,,,,,,,,,"<ul>
<li>Bis Freitag, 11. September 2026: «Gruppenwahl | Theorieblatt über Zellbestandteile» einschreiben.</li>
<li>KW 38: «Aufgabe | Theorieblatt über Zellbestandteile (= Leistungsnachweis)».</li>
<li>KW 38: Erstellen Sie eine Word-Vorlage gemäss «Anleitung &amp; Vorgaben: Erstellung einer Vorlage für ein Textdokument».</li>
<li>Sonntag, 20. September 2026, 23:59 Uhr: Stellen Sie Ihr Theorieblatt fertig und laden Sie es auf Moodle hoch.</li>
<li>Bis Ende KW 39: Schauen Sie zum Abschluss den Erklärfilm «Übrige Zellbestandteile».</li>
</ul>",Biologieprüfung I,2026-10-19,11:20,12:05,"<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>",Prüfungsvorbereitung,2026-09-28,17:20,18:05,<p>Zimmer 302</p>,https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H,https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344,"<p>🗓 Montag, 28. September 2026<br>🕠 von 17:20 bis 18:05 Uhr<br>🏫 Zimmer 302 oder online via <a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">Teams</a></p>
<p>🗫 Teilnahme ist hybrid möglich über den Link.</p>","<h5>Lernziele</h5>
<p>Sie sind in der Lage ...</p>
<ol>
<li>mithilfe spezifischer Kriterien prokaryontische und eukaryontische Zellen zu unterscheiden und Gemeinsamkeiten zu benennen. den Bau von Tier- und Pflanzenzellen</li>
<li>mit sämtlichen Organellen schematisch zu skizzieren.</li>
<li>anhand von Zellbestandteilen Unterschiede und Gemeinsamkeiten festzumachen.</li>
<li>die Strukturen und die Komponenten des Endomembransystems zu beschreiben.</li>
</ol>"
BM2tz-2628,2026-09-07,KW 37,Cytologie: Aufbau und Funktion von Zellen,,,,13:50,14:35,"<ul>
<li>[fa-question-circle] Leistungsnachweis | Theorieblatt über Zellbestandteile</li>
<li>[fa-book] Pro- und Eukaryotische Zelltypen</li>
<li>[fa-book] Überblick der Zellbestandteile</li>
<li>[fa-pencil] Arbeit am Leistungsnachweis</li>
</ul>",,,,,,,,,,,,,,,,"<ul>
<li>Bis Freitag, 11. September 2026: «Gruppenwahl | Theorieblatt über Zellbestandteile» einschreiben.</li>
<li>KW 38: «Aufgabe | Theorieblatt über Zellbestandteile (= Leistungsnachweis)».</li>
<li>KW 38: Erstellen Sie eine Word-Vorlage gemäss «Anleitung &amp; Vorgaben: Erstellung einer Vorlage für ein Textdokument».</li>
<li>Sonntag, 20. September 2026, 23:59 Uhr: Stellen Sie Ihr Theorieblatt fertig und laden Sie es auf Moodle hoch.</li>
<li>Bis Ende KW 39: Schauen Sie zum Abschluss den Erklärfilm «Übrige Zellbestandteile».</li>
</ul>",Biologieprüfung I,2026-10-19,13:50,14:35,"<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>",Prüfungsvorbereitung,2026-09-28,17:20,18:05,<p>Zimmer 302</p>,https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H,https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344,"<p>🗓 Montag, 28. September 2026<br>🕠 von 17:20 bis 18:05 Uhr<br>🏫 Zimmer 302 oder online via <a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">Teams</a></p>
<p>🗫 Teilnahme ist hybrid möglich über den Link.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>mithilfe spezifischer Kriterien prokaryontische und eukaryontische Zellen zu unterscheiden und Gemeinsamkeiten zu benennen. den Bau von Tier- und Pflanzenzellen</li>
<li>mit sämtlichen Organellen schematisch zu skizzieren.</li>
<li>anhand von Zellbestandteilen Unterschiede und Gemeinsamkeiten festzumachen.</li>
<li>die Strukturen und die Komponenten des Endomembransystems zu beschreiben.</li>
</ol>"
